County Code,County Name   (Iowa),Lat,Long,Elevation
IAC001,Adair,41.328528,-94.478164,"1,355"
IAC003,Adams,41.021656,-94.696906,"1,224"
IAC005,Allamakee,43.274964,-91.382751,988
IAC007,Appanoose,40.744296,-92.873061,909
IAC009,Audubon,41.679178,-94.904312,"1,391"
IAC011,Benton,42.092547,-92.05763,915
IAC013,Black Hawk,42.471541,-92.308033,843
IAC015,Boone,42.038642,-93.938358,879
IAC017,Bremer,42.780895,-92.327356,"1,037"
IAC019,Buchanan,42.470328,-91.838666,968
IAC021,Buena Vista,42.741522,-95.141432,"1,342"
IAC023,Butler,42.734708,-92.780066,"1,027"
IAC025,Calhoun,42.38617,-94.643683,"1,227"
IAC027,Carroll,42.039492,-94.867647,"1,296"
IAC029,Cass,41.333824,-94.933302,"1,250"
IAC031,Cedar,41.77236,-91.132611,810
IAC033,Cerro Gordo,43.074975,-93.250965,"1,211"
IAC035,Cherokee,42.742737,-95.633262,"1,378"
IAC037,Chickasaw,43.059741,-92.31721,"1,161"
IAC039,Clarke,41.029191,-93.784096,"1,093"
IAC041,Clay,43.081224,-95.149875,"1,362"
IAC043,Clayton,42.840985,-91.323576,896
IAC045,Clinton,41.898073,-90.534243,748
IAC047,Crawford,42.043119,-95.38909,"1,342"
IAC049,Dallas,41.685321,-94.040707,991
IAC051,Davis,40.748089,-92.410345,879
IAC053,Decatur,40.736379,-93.78458,"1,070"
IAC055,Delaware,42.472937,-91.366767,"1,050"
IAC057,Des Moines,40.915339,-91.186925,692
IAC059,Dickinson,43.389611,-95.196057,"1,398"
IAC061,Dubuque,42.463481,-90.878771,896
IAC063,Emmet,43.377984,-94.66937,"1,286"
IAC065,Fayette,42.864122,-91.840376,"1,099"
IAC067,Floyd,43.052741,-92.787367,"1,076"
IAC069,Franklin,42.736549,-93.271425,"1,240"
IAC071,Fremont,40.74259,-95.599182,932
IAC073,Greene,42.042494,-94.388703,"1,066"
IAC075,Grundy,42.403323,-92.790261,"1,007"
IAC077,Guthrie,41.683573,-94.501272,"1,171"
IAC079,Hamilton,42.390768,-93.709198,"1,102"
IAC081,Hancock,43.075411,-93.743697,"1,250"
IAC083,Hardin,42.390208,-93.241669,"1,093"
IAC085,Harrison,41.688584,-95.827149,"1,148"
IAC087,Henry,40.984802,-91.547259,728
IAC089,Howard,43.365312,-92.321908,"1,270"
IAC091,Humboldt,42.782221,-94.202775,"1,129"
IAC093,Ida,42.39186,-95.507421,"1,375"
IAC095,Iowa,41.683918,-92.059123,846
IAC097,Jackson,42.164281,-90.574596,801
IAC099,Jasper,41.685551,-93.054147,889
IAC101,Jefferson,41.006384,-91.96744,768
IAC103,Johnson,41.668877,-91.588924,702
IAC105,Jones,42.125118,-91.116914,961
IAC107,Keokuk,41.331182,-92.167721,692
IAC109,Kossuth,43.212478,-94.213983,"1,178"
IAC111,Lee,40.647588,-91.477157,673
IAC113,Linn,42.077951,-91.597674,860
IAC115,Louisa,41.218211,-91.256994,581
IAC117,Lucas,41.033344,-93.331467,"1,024"
IAC119,Lyon,43.38358,-96.207201,"1,437"
IAC121,Madison,41.330622,-94.015184,"1,122"
IAC123,Mahaska,41.330797,-92.636366,810
IAC125,Marion,41.331455,-93.093849,876
IAC127,Marshall,42.041691,-92.981452,951
IAC129,Mills,41.033703,-95.619101,"1,010"
IAC131,Mitchell,43.348564,-92.784466,"1,188"
IAC133,Monona,42.049432,-95.956566,"1,083"
IAC135,Monroe,41.028847,-92.869642,781
IAC137,Montgomery,41.021735,-95.15779,"1,263"
IAC139,Muscatine,41.483776,-91.118699,699
IAC141,O'Brien,43.083746,-95.625624,"1,496"
IAC143,Osceola,43.378542,-95.633788,"1,565"
IAC145,Page,40.73909,-95.14429,"1,102"
IAC147,Palo Alto,43.075337,-94.669055,"1,230"
IAC149,Plymouth,42.737585,-96.215864,"1,178"
IAC151,Pocahontas,42.734033,-94.678279,"1,220"
IAC153,Polk,41.684816,-93.568971,919
IAC155,Pottawattamie,41.340184,-95.544905,"1,224"
IAC157,Poweshiek,41.684526,-92.522882,892
IAC159,Ringgold,40.735334,-94.244251,"1,191"
IAC161,Sac,42.387526,-95.105224,"1,391"
IAC163,Scott,41.642079,-90.622289,741
IAC165,Shelby,41.679014,-95.308917,"1,237"
IAC167,Sioux,43.082646,-96.17801,"1,178"
IAC169,Story,42.037538,-93.466093,997
IAC171,Tama,42.074848,-92.529411,"1,027"
IAC173,Taylor,40.737949,-94.697108,"1,214"
IAC175,Union,41.02855,-94.245091,"1,250"
IAC177,Van Buren,40.754117,-91.952943,650
IAC179,Wapello,41.031263,-92.409482,797
IAC181,Warren,41.332446,-93.568751,801
IAC183,Washington,41.329401,-91.725052,764
IAC185,Wayne,40.739983,-93.332613,"1,060"
IAC187,Webster,42.433579,-94.175831,"1,115"
IAC189,Winnebago,43.378124,-93.743488,"1,260"
IAC191,Winneshiek,43.292989,-91.850788,"1,119"
IAC193,Woodbury,42.39322,-96.053296,"1,161"
IAC195,Worth,43.373491,-93.248533,"1,214"
IAC197,Wright,42.733007,-93.734735,"1,181"
